x,y
0.0,0.0
-2.8000000000174623,1.7999999998137355
-5.0,3.2999999998137355
-7.5,5.7999999998137355
-9.700000000011642,8.700000000186265
-11.800000000017462,11.400000000372529
-13.300000000017462,13.900000000372529
-14.400000000023283,16.700000000186265
-15.400000000023283,19.700000000186265
-16.0,22.90000000037253
-16.400000000023283,26.600000000558794
-16.300000000017462,29.40000000037253
-16.10000000000582,32.799999999813735
-15.800000000017462,36.5
-15.400000000023283,40.0
-15.10000000000582,44.0
-14.800000000017462,47.60000000055879
-14.400000000023283,51.200000000186265
-13.60000000000582,55.299999999813735
-12.900000000023283,59.799999999813735
-12.5,63.700000000186265
-12.0,68.20000000018626
-11.400000000023283,72.40000000037253
-11.0,76.5
-10.5,80.70000000018626
-9.900000000023283,85.0
-9.0,90.1000000005588
-8.5,94.90000000037253
-7.7000000000116415,99.6000000005588
-7.0,104.70000000018626
-6.7000000000116415,108.40000000037253
-6.2000000000116415,112.5
-5.600000000005821,116.70000000018626
-4.600000000005821,122.20000000018626
-3.7000000000116415,127.79999999981374
-2.7000000000116415,133.79999999981374
-2.0,138.70000000018626
-1.1000000000058208,143.20000000018626
-0.20000000001164153,148.20000000018626
0.29999999998835847,152.0
1.2909999999974389,156.08800000045449
1.2909999999974389,156.08800000045449
2.0,157.79999999981374
3.099999999976717,160.1000000005588
4.5,162.79999999981374
5.699999999982538,165.29999999981374
8.799999999988358,170.40000000037253
11.799999999988358,174.40000000037253
14.89999999999418,178.90000000037253
18.29999999998836,183.0
22.39999999999418,187.6000000005588
26.5,192.70000000018626
29.79999999998836,196.6000000005588
33.39999999999418,200.29999999981374
36.39999999999418,203.70000000018626
39.79999999998836,208.20000000018626
43.29999999998836,212.40000000037253
46.5,216.20000000018626
50.5,220.40000000037253
54.5,224.90000000037253
57.69999999998254,228.5
61.19999999998254,232.40000000037253
64.5,236.40000000037253
68.09999999997672,240.5
71.89999999999418,245.0
75.09999999997672,248.90000000037253
79.09999999997672,253.20000000018626
82.5,257.1000000005588
85.59999999997672,260.6000000005588
89.09999999997672,264.5
93.19999999998254,269.29999999981374
96.89999999999418,273.40000000037253
100.09999999997672,277.20000000018626
103.79999999998836,281.20000000018626
107.69999999998254,285.5
111.59999999997672,289.5
115.29999999998836,294.20000000018626
119.0,298.5
122.59999999997672,302.79999999981374
125.39999999999418,306.1000000005588
129.09999999997672,309.6000000005588
131.69999999998254,312.90000000037253
134.59999999997672,316.70000000018626
138.09999999997672,320.79999999981374
141.19999999998254,324.20000000018626
144.39999999999418,328.20000000018626
147.5,331.6000000005588
150.89999999999418,335.1000000005588
153.59999999997672,338.29999999981374
157.09999999997672,342.1000000005588
160.5,346.1000000005588
163.59999999997672,349.70000000018626
166.79999999998836,353.6000000005588
169.89999999999418,357.0
172.89999999999418,360.5
175.5,363.90000000037253
179.19999999998254,368.1000000005588
182.79999999998836,372.70000000018626
185.89999999999418,376.70000000018626
185.89999999999418,376.70000000018626
189.29999999998836,380.70000000018626
191.22999999998137,382.40000000037253
191.22999999998137,382.40000000037253
199.5,392.29999999981374
202.69999999998254,396.0
205.79999999998836,399.70000000018626
209.39999999999418,403.5
213.19999999998254,408.20000000018626
216.59999999997672,412.29999999981374
220.29999999998836,416.79999999981374
223.89999999999418,421.0
227.89999999999418,426.40000000037253
231.19999999998254,431.29999999981374
233.79999999998836,435.70000000018626
237.0,441.0
239.69999999998254,445.90000000037253
242.39999999999418,451.40000000037253
244.39999999999418,455.6000000005588
246.29999999998836,459.40000000037253
248.29999999998836,463.6000000005588
250.19999999998254,468.20000000018626
251.89999999999418,472.90000000037253
253.69999999998254,477.79999999981374
254.89999999999418,481.20000000018626
256.19999999998254,485.40000000037253
257.5,489.5
258.8999999999942,494.0
260.0,498.6000000005588
260.8999999999942,502.5
261.8999999999942,506.40000000037253
262.5999999999767,510.1000000005588
263.5999999999767,514.5
264.69999999998254,518.5
265.3999999999942,521.9000000003725
266.79999999998836,526.2999999998137
268.0999999999767,530.0
269.8999999999942,534.0
271.5999999999767,537.0
273.3999999999942,539.7000000001863
274.8999999999942,541.7999999998137
276.19999999998254,543.7000000001863
277.5999999999767,545.1000000005588
279.3999999999942,546.7000000001863
280.8299999999872,547.7599999997765
280.8299999999872,547.7599999997765
283.3999999999942,549.5
285.5999999999767,550.7999999998137
287.0,551.4000000003725
